s;w
800;140
801;141
802;124
803;167
804;142
805;135
806;135
807;134
808;127
809;151
810;151
811;121
812;113
813;124
814;79
815;98
816;154
817;170
818;144
819;167
820;141
821;129
822;176
823;138
824;128
825;154
826;168
827;123
828;142
829;138
830;123
831;124
832;128
833;127
834;144
835;126
836;132
837;112
838;119
839;120
840;144
841;163
842;160
843;144
844;155
845;156
846;156
847;159
848;136
849;186
850;154
851;148
852;153
853;143
854;150
855;171
856;153
857;142
858;170
859;189
860;214
861;214
862;203
863;213
864;204
865;187
866;230
867;246
868;249
869;187
870;212
871;230
872;230
873;188
874;180
875;180
876;160
877;264
878;111
879;154
880;91
881;149
882;158
883;158
884;119
885;187
886;100
887;113
888;175
889;153
890;126
891;164
892;118
893;102
894;107
895;145
896;105
897;128
898;166
899;132
900;152
901;148
902;132
903;163
904;174
905;133
906;138
907;177
908;160
909;154
910;188
911;177
912;168
913;191
914;165
915;165
916;205
917;217
918;207
919;195
920;192
921;170
922;228
923;181
924;190
925;218
926;195
927;203
928;185
929;192
930;215
931;164
932;188
933;212
934;211
935;197
936;189
937;196
938;169
939;177
940;200
941;186
942;188
943;201
944;193
945;179
946;174
947;204
948;197
949;178
950;233
951;174
952;195
953;154
954;154
955;219
956;132
957;136
958;177
959;130
960;201
961;125
962;127
963;164
964;172
965;178
966;178
967;103
968;163
969;114
970;103
971;160
972;187
973;150
974;136
975;135
976;176
977;109
978;99
979;153
980;90
981;69
982;88
983;166
984;99
985;109
986;161
987;99
988;188
989;149
990;136
991;162
992;161
993;157
994;166
995;149
996;224
997;153
998;183
999;128
1000;148
1001;150
1002;179
1003;179
1004;158
1005;150
1006;123
1007;122
1008;152
1009;123
1010;97
1011;186
1012;102
1013;127
1014;105
1015;176
1016;95
1017;80
1018;140
1019;81
1020;70
1021;104
1022;91
1023;88
1024;61
1025;7
1026;3
1027;47
1028;5
1029;21
1030;7
1031;2
1032;6
1033;7
1034;4
1035;34
1036;104
1037;50
1038;24
1039;177
1040;171
1041;221
1042;184
1043;185
1044;126
1045;152
1046;106
1047;194
1048;139
1049;142
1050;152
1051;184
1052;126
1053;168
1054;168
1055;134
1056;151
1057;147
1058;147
1059;168
1060;137
1061;137
1062;163
1063;136
1064;177
1065;120
1066;124
1067;220
1068;148
1069;166
1070;145
1071;166
1072;126
1073;129
1074;111
1075;161
1076;153
1077;127
1078;130
1079;186
1080;128
1081;115
1082;191
1083;120
1084;111
1085;193
1086;145
1087;151
1088;162
1089;138
1090;179
1091;144
1092;162
1093;178
1094;142
1095;150
1096;179
1097;117
1098;116
1099;150
1100;130
1101;140
1102;158
1103;140
1104;155
1105;144
1106;139
1107;136
1108;128
