s;w
800;186
801;167
802;154
803;0
804;0
805;0
806;0
807;0
808;0
809;0
810;0
811;0
812;0
813;0
814;0
815;0
816;0
817;0
818;0
819;0
820;0
821;0
822;0
823;0
824;0
825;0
826;0
827;0
828;0
829;0
830;0
831;0
832;0
833;0
834;0
835;0
836;0
837;0
838;0
839;0
840;167
841;138
842;0
843;0
844;0
845;0
846;0
847;0
848;0
849;0
850;0
851;0
852;0
853;0
854;0
855;0
856;0
857;0
858;0
859;0
860;0
861;0
862;0
863;0
864;64
865;24
866;0
867;0
868;0
869;158
870;200
871;200
872;188
873;161
874;149
875;165
876;176
877;169
878;137
879;279
880;279
881;201
882;213
883;255
884;255
885;229
886;210
887;220
888;220
889;226
890;291
891;239
892;282
893;254
894;306
895;306
896;242
897;224
898;224
899;193
900;180
901;212
902;251
903;195
904;221
905;223
906;192
907;198
908;222
909;253
910;290
911;243
912;239
913;239
914;293
915;203
916;200
917;217
918;217
919;240
920;196
921;225
922;275
923;275
924;261
925;256
926;260
927;259
928;269
929;258
930;258
931;374
932;361
933;384
934;327
935;327
936;124
937;124
938;434
939;421
940;386
941;323
942;323
943;404
944;344
945;346
946;387
947;387
948;341
949;341
950;427
951;330
952;0
953;0
954;0
955;0
956;0
957;0
958;0
959;0
960;0
961;0
962;0
963;0
964;0
965;0
966;0
967;0
968;0
969;0
970;0
971;0
972;0
973;0
974;0
975;0
976;0
977;0
978;0
979;0
980;0
981;0
982;0
983;0
984;0
985;0
986;0
987;0
988;0
989;0
990;0
991;0
992;0
993;0
994;0
995;58
996;134
997;32
998;0
999;0
1000;0
1001;0
1002;120
1003;0
1004;0
1005;0
1006;0
1007;0
1008;0
1009;0
1010;0
1011;0
1012;0
1013;0
1014;0
1015;0
1016;179
1017;213
1018;214
1019;0
1020;0
1021;0
1022;0
1023;0
1024;0
1025;0
1026;0
1027;0
1028;0
1029;0
1030;0
1031;0
1032;0
1033;14
1034;187
1035;187
1036;258
1037;258
1038;234
1039;259
1040;297
1041;224
1042;196
1043;220
1044;241
1045;297
1046;358
1047;287
1048;188
1049;0
1050;0
1051;0
1052;0
1053;0
1054;0
1055;0
1056;0
1057;0
1058;0
1059;0
1060;0
1061;0
1062;0
1063;0
1064;0
1065;0
1066;0
1067;0
1068;0
1069;0
1070;0
1071;0
1072;0
1073;0
1074;0
1075;0
1076;0
1077;0
1078;0
1079;0
1080;0
1081;0
1082;0
1083;0
1084;0
1085;0
1086;0
1087;0
1088;0
1089;0
1090;0
1091;0
1092;0
1093;0
1094;0
1095;0
1096;0
1097;0
1098;0
1099;0
1100;0
1101;0
1102;0
1103;0
1104;226
1105;270
1106;283
1107;266
1108;309
1109;409
1110;434
1111;347
1112;350
1113;234
1114;206
1115;244
1116;284
1117;312
1118;301
1119;346
1120;255
1121;233
1122;258
1123;307
1124;300
1125;301
1126;301
1127;328
1128;416
1129;411
1130;468
1131;338
1132;293
1133;217
1134;217
1135;197
1136;222
1137;203
1138;236
1139;175
1140;181
1141;222
1142;272
1143;217
1144;258
1145;193
1146;247
1147;202
1148;242
1149;172
1150;228
1151;219
1152;356
1153;230
1154;290
1155;161
1156;128
1157;102
1158;90
1159;81
1160;191
1161;238
1162;238
1163;350
1164;359
1165;227
1166;195
1167;180
1168;201
1169;151
1170;117
1171;99
1172;91
1173;186
1174;188
1175;198
1176;198
1177;190
1178;215
1179;215
1180;107
1181;199
1182;0
1183;0
1184;0
1185;0
1186;0
1187;0
1188;15
1189;174
1190;217
1191;142
1192;150
1193;0
1194;0
1195;0
1196;169
1197;149
1198;242
1199;316
1200;437
1201;380
1202;380
1203;323
1204;265
1205;258
1206;196
1207;226
1208;0
1209;0
1210;0
1211;0
1212;0
1213;0
1214;0
1215;0
1216;0
1217;0
1218;0
1219;0
1220;76
1221;71
1222;141
